Session_ID,User_ID,Content_ID,View_Date,Watch_Duration_Minutes,Completion_Percentage,Paused_Times,Rewatched_Flag,Time_of_Day,Device_Type
S359381,U0579,C02603,08/11/2023,14,9,0,Y,Evening,Smart TV
S422764,U0579,C17369,27/06/2025,36,46,2,Y,Morning,Smart TV
S928919,U0579,C11864,26/11/2022,16,19,1,N,Night,Smart TV
S407607,U0579,C16715,07/10/2024,583,97,2,Y,Morning,Smart TV
S247348,U0580,C04073,30/03/2024,62,59,2,Y,Evening,Tablet
S772814,U0580,C05086,02/11/2022,85,62,2,Y,Night,Tablet
S535158,U0580,C06486,15/11/2025,18,22,2,Y,Night,Tablet
S307068,U0580,C12822,01/03/2023,85,64,0,N,Morning,Tablet
S455019,U0580,C07147,24/11/2023,401,66,1,Y,Evening,Tablet
S501973,U0580,C15466,01/04/2025,65,10,0,N,Evening,Tablet
S143560,U0580,C06944,01/01/2024,38,44,2,N,Evening,Tablet
S561869,U0580,C04499,19/03/2022,62,10,3,Y,Morning,Tablet
S745247,U0580,C14551,02/09/2024,19,25,3,Y,Morning,Tablet
S705238,U0580,C13997,11/06/2025,96,81,3,N,Night,Tablet
S521103,U0580,C06328,01/05/2025,64,62,0,N,Morning,Tablet
S595104,U0580,C12282,05/07/2022,412,68,2,Y,Morning,Tablet
S321149,U0580,C02331,09/12/2024,85,85,1,N,Afternoon,Tablet
S271322,U0580,C03802,20/12/2025,511,12,1,Y,Night,Tablet
S700642,U0580,C13131,26/12/2025,190,31,2,N,Evening,Tablet
S639699,U0581,C14123,02/04/2022,168,28,3,N,Afternoon,Laptop
S673750,U0581,C00653,11/03/2022,83,69,1,Y,Afternoon,Laptop
S648070,U0581,C16829,02/03/2022,1030,24,3,N,Evening,Laptop
S202949,U0581,C01198,22/03/2023,295,49,0,Y,Morning,Laptop
S758886,U0581,C11799,05/04/2023,17,20,3,Y,Afternoon,Laptop
S305638,U0581,C15666,05/01/2024,586,97,1,Y,Afternoon,Laptop
S203251,U0581,C10135,26/10/2025,6,100,1,N,Afternoon,Laptop
S902871,U0581,C01675,01/05/2025,17,18,1,Y,Evening,Laptop
S910479,U0581,C14456,31/08/2025,13,21,0,Y,Night,Laptop
S912316,U0581,C07354,16/02/2023,34,36,3,N,Night,Laptop
S841170,U0581,C09982,27/05/2023,18,21,1,N,Afternoon,Laptop
S938093,U0581,C03979,10/08/2024,160,26,1,N,Night,Laptop
S413827,U0581,C04719,14/09/2025,129,81,3,Y,Morning,Laptop
S825796,U0581,C12988,25/09/2025,142,89,0,Y,Night,Laptop
S887589,U0581,C04325,08/06/2025,599,99,0,N,Morning,Laptop
S543568,U0582,C09287,07/09/2022,42,56,1,Y,Evening,Tablet
S322846,U0582,C13823,28/09/2025,18,78,2,Y,Evening,Tablet
S419065,U0582,C17406,11/07/2024,47,100,0,N,Afternoon,Tablet
S911770,U0582,C17234,19/05/2024,426,71,3,N,Evening,Tablet
S232342,U0582,C11337,03/02/2025,14,73,2,Y,Night,Tablet
S247993,U0582,C13013,26/07/2023,66,59,3,N,Afternoon,Tablet
S728904,U0582,C08180,26/10/2023,54,57,3,N,Afternoon,Tablet
S451689,U0582,C10380,12/10/2024,8,6,0,N,Night,Tablet
S929672,U0582,C11557,03/05/2025,85,87,3,Y,Morning,Tablet
S696815,U0582,C01890,11/11/2025,68,70,3,N,Evening,Tablet
S247258,U0582,C02932,20/12/2023,31,5,1,Y,Night,Tablet
S902715,U0582,C17460,24/11/2022,13,14,0,Y,Evening,Tablet
S201596,U0582,C03469,04/04/2023,471,78,0,N,Morning,Tablet
S152397,U0582,C07854,13/10/2023,80,80,0,N,Night,Tablet
S691076,U0582,C17081,19/06/2022,272,15,3,N,Evening,Tablet
S865646,U0583,C01894,01/10/2023,470,78,2,Y,Afternoon,Smart TV
S312133,U0583,C07790,17/07/2022,55,47,2,Y,Afternoon,Smart TV
S664481,U0583,C08652,25/05/2023,494,41,2,N,Evening,Smart TV
S281089,U0583,C05453,23/02/2022,53,79,1,N,Afternoon,Smart TV
S737153,U0583,C15971,24/09/2022,21,50,0,Y,Night,Smart TV
S678293,U0583,C06545,23/04/2022,51,43,0,N,Evening,Smart TV
S550773,U0583,C16334,23/05/2022,34,40,2,N,Evening,Smart TV
S763740,U0583,C11180,13/07/2024,35,23,1,Y,Night,Smart TV
S120302,U0583,C05219,19/04/2024,65,73,2,N,Night,Smart TV
S215092,U0583,C09120,01/05/2025,47,56,3,N,Evening,Smart TV
S718799,U0583,C17634,04/03/2022,254,42,1,N,Evening,Smart TV
S416135,U0583,C02035,01/06/2022,69,75,3,Y,Night,Smart TV
S450215,U0583,C08837,14/10/2023,32,26,2,Y,Morning,Smart TV
S513022,U0583,C06628,13/04/2022,1116,93,0,Y,Evening,Smart TV
S764195,U0583,C11607,06/02/2022,56,98,1,Y,Night,Smart TV
S594637,U0584,C09755,27/07/2023,40,29,1,N,Evening,Laptop
S333486,U0584,C05874,26/02/2025,23,29,1,Y,Night,Laptop
S620312,U0584,C10733,14/07/2025,20,100,1,N,Morning,Laptop
S485337,U0584,C03337,21/04/2025,33,43,3,N,Evening,Laptop
S669506,U0584,C14312,23/11/2024,25,31,3,Y,Evening,Laptop
S973121,U0584,C09705,13/02/2023,484,80,2,N,Morning,Laptop
S962248,U0584,C08373,11/06/2023,288,48,2,N,Evening,Laptop
S293157,U0584,C04244,04/03/2025,27,4,1,Y,Night,Laptop
S694322,U0584,C17208,27/06/2022,75,75,1,Y,Afternoon,Laptop
S276524,U0584,C02819,27/11/2025,260,43,0,Y,Afternoon,Laptop
S658179,U0584,C06238,05/02/2022,35,56,2,N,Morning,Laptop
S850725,U0584,C13567,26/04/2025,83,98,2,Y,Morning,Laptop
S542065,U0584,C03275,16/08/2025,82,83,0,Y,Evening,Laptop
S488451,U0584,C09128,13/10/2022,411,68,1,Y,Evening,Laptop
S316445,U0584,C11819,22/08/2025,59,96,3,Y,Morning,Laptop
S852304,U0585,C06575,27/09/2022,69,64,0,Y,Night,Mobile
S805818,U0585,C03352,16/02/2025,20,24,3,Y,Evening,Mobile
S607177,U0585,C07359,30/11/2022,105,89,1,Y,Morning,Mobile
S506795,U0585,C15455,28/03/2022,30,32,0,N,Evening,Mobile
S517024,U0585,C05950,11/09/2023,8,7,3,N,Evening,Mobile
S347263,U0585,C14788,24/09/2025,76,64,2,Y,Night,Mobile
S283370,U0585,C01296,05/08/2024,73,6,2,Y,Morning,Mobile
S826341,U0585,C05657,19/08/2025,92,95,2,Y,Evening,Mobile
S882900,U0585,C04265,01/04/2024,85,85,3,Y,Afternoon,Mobile
S181951,U0585,C15042,19/11/2024,103,93,3,Y,Evening,Mobile
S750491,U0585,C15939,18/04/2024,468,78,3,Y,Evening,Mobile
S268642,U0585,C03713,28/05/2025,972,81,1,N,Afternoon,Mobile
S604971,U0585,C08821,26/12/2023,28,26,0,Y,Morning,Mobile
S411825,U0585,C16042,29/06/2025,61,68,3,N,Evening,Mobile
S697709,U0585,C08424,26/11/2023,18,54,0,N,Night,Mobile
S952578,U0586,C15731,02/02/2025,56,76,1,N,Morning,Tablet
S887624,U0586,C12367,15/07/2025,7,7,1,N,Night,Tablet
S720891,U0586,C03903,14/01/2025,1721,95,1,Y,Afternoon,Tablet
S360437,U0586,C10943,13/07/2022,53,58,2,N,Night,Tablet
S554980,U0586,C05487,14/08/2024,45,42,3,Y,Evening,Tablet
S161655,U0586,C06358,29/04/2022,48,54,2,Y,Afternoon,Tablet
S134975,U0586,C16296,12/07/2023,73,66,1,Y,Night,Tablet
S588306,U0586,C05961,09/06/2023,36,31,3,Y,Afternoon,Tablet
S377001,U0586,C00951,22/02/2023,23,16,3,Y,Evening,Tablet
S705607,U0586,C17778,16/12/2024,310,17,2,Y,Morning,Tablet
S318841,U0586,C16709,18/07/2024,76,96,1,Y,Evening,Tablet
S504513,U0586,C09452,18/06/2023,9,7,1,N,Morning,Tablet
S296874,U0586,C14639,02/05/2022,38,80,1,Y,Night,Tablet
S281328,U0586,C12197,11/12/2024,81,93,2,N,Evening,Tablet
S639786,U0586,C17740,12/06/2022,89,87,1,Y,Night,Tablet
S445955,U0587,C15192,07/06/2025,28,23,1,N,Afternoon,Mobile
S251423,U0587,C02119,20/03/2023,77,57,3,N,Morning,Mobile
S322357,U0587,C06655,27/02/2023,38,27,3,Y,Evening,Mobile
S438013,U0587,C10382,18/04/2022,400,66,1,N,Evening,Mobile
S391395,U0587,C00085,19/06/2023,843,70,2,Y,Evening,Mobile
S223380,U0587,C05500,17/04/2024,1480,49,1,Y,Night,Mobile
S740878,U0587,C10373,28/06/2022,1602,89,2,Y,Evening,Mobile
S635976,U0587,C13707,12/12/2025,73,68,1,Y,Night,Mobile
S199878,U0587,C08670,16/02/2025,87,87,3,Y,Night,Mobile
S663998,U0587,C04747,27/08/2025,49,54,0,Y,Afternoon,Mobile
S117651,U0587,C02937,15/11/2022,33,22,0,N,Afternoon,Mobile
S886497,U0587,C04215,21/11/2023,10,10,3,N,Morning,Mobile
S578836,U0587,C09080,22/09/2024,770,64,3,N,Afternoon,Mobile
S920732,U0587,C14543,24/10/2023,48,56,0,Y,Evening,Mobile
S564145,U0587,C10732,20/07/2025,21,22,0,Y,Afternoon,Mobile
S218660,U0588,C15079,26/01/2023,28,28,0,Y,Morning,Tablet
S809201,U0588,C00043,24/06/2024,981,81,1,N,Night,Tablet
S968026,U0588,C06339,14/02/2024,26,32,0,Y,Morning,Tablet
S778632,U0588,C08516,18/06/2023,9,7,3,Y,Afternoon,Tablet
S169930,U0588,C16135,16/05/2024,22,24,2,N,Afternoon,Tablet
S909404,U0588,C07555,22/12/2025,50,81,2,Y,Night,Tablet
S667680,U0588,C16916,17/02/2025,554,92,3,Y,Morning,Tablet
S645581,U0588,C14892,19/05/2025,65,70,0,Y,Afternoon,Tablet
S978972,U0588,C04996,06/02/2023,13,10,1,N,Night,Tablet
S454650,U0588,C02921,18/09/2024,90,88,1,Y,Evening,Tablet
S796360,U0588,C11529,12/10/2022,147,98,0,Y,Morning,Tablet
S625888,U0588,C12501,17/10/2023,33,38,3,Y,Morning,Tablet
S464856,U0588,C06342,11/03/2022,32,32,0,N,Afternoon,Tablet
S396997,U0588,C09423,29/01/2022,589,98,0,Y,Afternoon,Tablet
S997550,U0588,C09515,20/08/2023,6,100,0,N,Morning,Tablet
S951568,U0589,C00504,11/08/2023,526,29,2,N,Afternoon,Laptop
S251608,U0589,C01954,25/07/2025,74,78,3,Y,Afternoon,Laptop
S102942,U0589,C04552,10/07/2022,121,93,2,Y,Afternoon,Laptop
S801624,U0589,C00067,17/09/2024,205,17,0,Y,Morning,Laptop
S715347,U0589,C15191,08/05/2025,15,16,2,N,Evening,Laptop
S986750,U0589,C12890,12/11/2022,41,87,1,Y,Evening,Laptop
S820517,U0589,C06567,19/09/2024,68,5,0,N,Afternoon,Laptop
S283229,U0589,C05336,03/10/2023,74,89,2,N,Night,Laptop
S625064,U0589,C12667,21/02/2024,13,61,2,Y,Night,Laptop
S530610,U0589,C14782,24/03/2025,73,76,0,N,Evening,Laptop
S135383,U0589,C16456,13/06/2024,132,22,1,Y,Night,Laptop
S989948,U0589,C01020,28/06/2022,230,19,0,Y,Evening,Laptop
S786497,U0589,C04188,23/01/2024,77,78,2,N,Evening,Laptop
S815583,U0589,C03872,05/08/2023,24,24,0,Y,Night,Laptop
S575803,U0589,C13246,13/04/2025,17,18,3,Y,Evening,Laptop
S901466,U0590,C14387,10/05/2025,11,12,2,N,Evening,Tablet
S142887,U0590,C01873,08/04/2025,18,16,1,N,Afternoon,Tablet
S677031,U0590,C13641,23/11/2024,8,7,1,Y,Night,Tablet
S609220,U0590,C03384,10/12/2023,7,6,3,N,Evening,Tablet
S376839,U0590,C10405,06/11/2022,9,56,1,Y,Afternoon,Tablet
S895690,U0590,C01480,09/11/2022,15,13,2,N,Night,Tablet
S849145,U0590,C02996,14/01/2022,19,3,2,Y,Morning,Tablet
S497667,U0590,C15420,28/02/2023,23,29,2,N,Afternoon,Tablet
S937402,U0590,C07236,03/10/2024,56,65,2,Y,Morning,Tablet
S157718,U0590,C15937,11/01/2025,15,18,0,Y,Afternoon,Tablet
S127921,U0590,C12219,29/03/2023,30,32,3,Y,Evening,Tablet
S625471,U0590,C08206,29/07/2022,19,35,0,Y,Evening,Tablet
S986000,U0590,C03177,26/05/2023,27,34,0,N,Afternoon,Tablet
S589971,U0590,C00002,04/02/2024,938,78,0,N,Night,Tablet
S615517,U0590,C00235,21/11/2024,41,42,0,Y,Morning,Tablet
S759471,U0591,C04068,05/09/2024,6,9,0,Y,Night,Smart TV
S604586,U0591,C05407,08/07/2023,300,50,3,N,Evening,Smart TV
S882667,U0591,C08382,18/12/2023,541,30,1,N,Night,Smart TV
S426209,U0591,C15486,15/11/2025,11,14,3,Y,Afternoon,Smart TV
S710921,U0591,C13231,31/03/2022,51,57,0,Y,Night,Smart TV
S175161,U0591,C06277,03/03/2022,56,9,0,N,Night,Smart TV
S658115,U0591,C08782,13/10/2025,70,78,2,Y,Night,Smart TV
S102597,U0591,C01018,29/03/2024,123,20,2,N,Morning,Smart TV
S331068,U0591,C04434,22/11/2022,91,71,1,N,Afternoon,Smart TV
S808421,U0591,C03542,23/08/2025,382,63,1,N,Afternoon,Smart TV
S155622,U0591,C08930,25/03/2022,41,41,0,Y,Evening,Smart TV
S449026,U0591,C11217,22/01/2024,35,41,2,N,Afternoon,Smart TV
S239904,U0591,C10466,20/11/2022,259,14,0,N,Night,Smart TV
S808940,U0591,C01758,01/05/2023,64,73,0,N,Afternoon,Smart TV
S872074,U0591,C07532,10/03/2023,1518,84,3,Y,Morning,Smart TV
S553284,U0592,C16045,27/09/2025,78,64,2,Y,Afternoon,Mobile
S309410,U0592,C02082,03/04/2025,27,25,0,N,Night,Mobile
S258384,U0592,C09676,08/04/2022,25,13,3,N,Afternoon,Mobile
S654751,U0592,C14686,30/06/2023,42,47,1,N,Evening,Mobile
S706049,U0592,C07008,29/07/2025,62,62,1,N,Evening,Mobile
S680397,U0592,C17282,08/08/2025,20,83,2,N,Afternoon,Mobile
S415565,U0592,C08144,19/05/2024,67,71,0,Y,Evening,Mobile
S738484,U0592,C08069,22/10/2025,58,54,3,Y,Morning,Mobile
S857516,U0592,C06273,02/10/2025,40,47,2,Y,Morning,Mobile
S395697,U0592,C11465,25/04/2025,56,80,1,N,Morning,Mobile
S497388,U0592,C10669,31/05/2022,103,96,1,N,Morning,Mobile
S740817,U0592,C06680,12/06/2025,51,54,0,Y,Afternoon,Mobile
S447971,U0592,C05279,07/06/2023,73,83,3,Y,Night,Mobile
S435679,U0592,C15438,04/06/2024,9,12,1,N,Morning,Mobile
S613604,U0592,C00561,09/07/2022,45,38,3,N,Morning,Mobile
S314826,U0593,C14704,13/02/2025,39,45,3,Y,Evening,Smart TV
S720196,U0593,C11171,16/08/2024,44,51,2,N,Morning,Smart TV
S780989,U0593,C00256,13/10/2025,21,23,2,Y,Afternoon,Smart TV
S688732,U0593,C14154,29/08/2022,60,63,0,Y,Evening,Smart TV
S516417,U0593,C16828,09/05/2023,37,82,1,Y,Evening,Smart TV
S175176,U0593,C17386,03/05/2022,13,14,3,Y,Night,Smart TV
S785476,U0593,C13862,27/04/2023,57,56,3,N,Afternoon,Smart TV
S263311,U0593,C08264,08/02/2025,23,27,1,Y,Morning,Smart TV
S643416,U0593,C06426,29/07/2022,67,55,1,Y,Afternoon,Smart TV
S239741,U0593,C12637,07/08/2023,479,79,3,Y,Afternoon,Smart TV
S359263,U0593,C12308,09/07/2022,117,99,3,N,Evening,Smart TV
S999684,U0593,C15950,04/01/2022,487,81,1,Y,Night,Smart TV
S905647,U0593,C14312,09/09/2024,31,38,1,Y,Evening,Smart TV
S456066,U0593,C10192,02/06/2022,8,47,0,N,Morning,Smart TV
S369022,U0593,C01169,10/07/2025,54,46,1,Y,Night,Smart TV
S507774,U0594,C12543,13/10/2022,65,70,2,N,Evening,Smart TV
S375169,U0594,C15227,06/01/2025,60,71,1,N,Evening,Smart TV
S732299,U0594,C05989,28/03/2022,88,93,0,N,Evening,Smart TV
S631049,U0594,C10125,23/01/2022,6,60,0,Y,Night,Smart TV
S349741,U0594,C01677,15/11/2025,44,32,2,N,Night,Smart TV
S911670,U0594,C06759,24/10/2023,503,83,2,Y,Afternoon,Smart TV
S799905,U0594,C09333,16/03/2025,539,89,0,N,Evening,Smart TV
S424381,U0594,C16990,17/07/2022,1150,95,1,Y,Afternoon,Smart TV
S995479,U0594,C08349,18/11/2022,12,9,1,N,Morning,Smart TV
S582737,U0594,C13175,19/01/2025,37,28,2,N,Night,Smart TV
S521183,U0594,C14964,17/10/2022,53,70,1,N,Evening,Smart TV
S309120,U0594,C16742,28/03/2023,6,27,0,N,Afternoon,Smart TV
S707009,U0594,C11531,18/10/2023,42,100,0,N,Evening,Smart TV
S230869,U0594,C05785,27/11/2022,146,24,3,N,Evening,Smart TV
S694869,U0594,C17537,15/11/2024,31,44,2,Y,Evening,Smart TV
S572640,U0595,C06147,15/10/2024,79,91,3,N,Morning,Tablet
S512625,U0595,C02138,15/10/2022,51,56,1,Y,Night,Tablet
S380748,U0595,C08950,25/02/2025,72,80,1,Y,Night,Tablet
S844842,U0595,C13626,06/08/2024,30,81,0,Y,Evening,Tablet
S594704,U0595,C04322,11/04/2025,118,95,2,N,Evening,Tablet
S514838,U0595,C07578,19/06/2025,49,59,3,Y,Night,Tablet
S339261,U0595,C03227,22/03/2023,23,95,0,N,Night,Tablet
S720702,U0595,C09095,18/01/2024,48,54,2,N,Morning,Tablet
S739124,U0595,C13670,09/02/2024,14,21,3,Y,Morning,Tablet
S241853,U0595,C02511,29/03/2023,106,17,0,Y,Afternoon,Tablet
S412863,U0595,C07304,30/01/2024,390,65,1,Y,Night,Tablet
S965794,U0595,C02083,20/12/2024,11,44,2,N,Evening,Tablet
S883215,U0595,C14917,02/03/2023,14,12,2,Y,Afternoon,Tablet
S394957,U0595,C03096,09/06/2022,379,63,0,N,Afternoon,Tablet
S940029,U0595,C08893,13/10/2022,8,11,3,N,Night,Tablet
S551889,U0596,C00070,14/03/2022,19,39,1,Y,Night,Tablet
S260099,U0596,C07869,30/06/2023,14,18,1,N,Night,Tablet
S221154,U0596,C17495,27/11/2024,6,7,3,N,Night,Tablet
S792188,U0596,C09403,20/03/2022,36,72,3,N,Night,Tablet
S978974,U0596,C09859,17/12/2025,84,83,0,Y,Morning,Tablet
S407218,U0596,C00661,07/04/2025,402,33,0,N,Night,Tablet
S967483,U0596,C05920,07/08/2024,45,44,2,N,Evening,Tablet
S377393,U0596,C07292,09/07/2022,6,11,1,Y,Morning,Tablet
S990850,U0596,C13179,08/04/2025,95,90,1,Y,Night,Tablet
S125598,U0596,C15604,20/07/2022,45,33,2,N,Night,Tablet
S413482,U0596,C00775,27/05/2024,367,61,2,N,Evening,Tablet
S374709,U0596,C01922,13/09/2022,60,38,1,N,Evening,Tablet
S305777,U0596,C03811,11/03/2023,1221,67,2,Y,Morning,Tablet
S820207,U0596,C15362,11/02/2024,19,12,2,Y,Evening,Tablet
S753382,U0596,C13912,19/02/2024,58,69,1,N,Afternoon,Tablet
S680094,U0597,C07395,11/10/2023,78,84,0,Y,Evening,Tablet
S788694,U0597,C05422,18/09/2022,20,19,0,Y,Evening,Tablet
S678675,U0597,C00064,07/11/2024,8,61,0,Y,Night,Tablet
S668750,U0597,C16804,16/01/2025,66,69,0,Y,Night,Tablet
S283970,U0597,C04348,02/02/2022,49,48,1,Y,Evening,Tablet
S711448,U0597,C16960,18/08/2022,452,37,0,Y,Evening,Tablet
S705414,U0597,C17018,29/01/2024,5,71,0,N,Afternoon,Tablet
S748513,U0597,C00927,22/11/2022,12,20,2,Y,Night,Tablet
S987824,U0597,C17061,25/10/2023,790,65,1,Y,Afternoon,Tablet
S589942,U0597,C02669,30/07/2025,321,53,3,Y,Morning,Tablet
S240076,U0597,C13217,05/02/2022,442,73,1,Y,Afternoon,Tablet
S588960,U0597,C08027,21/11/2022,3861,71,1,N,Evening,Tablet
S152620,U0597,C08426,25/11/2022,210,35,1,N,Afternoon,Tablet
S347430,U0597,C01196,25/04/2023,116,97,3,Y,Afternoon,Tablet
S646034,U0597,C09876,07/08/2025,64,71,1,N,Night,Tablet
S949821,U0598,C01909,12/09/2022,54,51,3,Y,Afternoon,Laptop
S308372,U0598,C04699,09/07/2022,68,52,0,N,Afternoon,Laptop
S704904,U0598,C09776,11/09/2022,62,10,1,Y,Night,Laptop
S222014,U0598,C01507,07/02/2024,713,29,1,Y,Afternoon,Laptop
S752730,U0598,C04558,31/10/2025,49,90,3,N,Night,Laptop
S656744,U0598,C10370,06/06/2024,20,100,0,Y,Morning,Laptop
S775409,U0598,C07469,06/09/2024,70,70,3,Y,Afternoon,Laptop
S958055,U0598,C02422,12/01/2024,63,94,3,N,Afternoon,Laptop
S658814,U0598,C00844,12/12/2025,32,91,0,Y,Morning,Laptop
S831850,U0598,C06683,07/09/2023,87,96,1,Y,Evening,Laptop
S115003,U0598,C09076,25/02/2022,31,36,2,Y,Evening,Laptop
S154066,U0598,C05638,02/11/2024,50,64,0,N,Afternoon,Laptop
S750377,U0598,C14514,08/07/2023,113,92,3,N,Night,Laptop
S938195,U0598,C10974,21/07/2024,525,87,0,N,Morning,Laptop
S116182,U0598,C09554,28/01/2023,1701,56,1,Y,Evening,Laptop
S981801,U0599,C10873,22/01/2023,589,98,1,Y,Night,Tablet
S311991,U0599,C13337,06/02/2025,77,89,1,Y,Evening,Tablet
S140399,U0599,C07335,20/02/2022,67,72,1,Y,Afternoon,Tablet
S653458,U0599,C09939,22/05/2022,60,71,0,Y,Evening,Tablet
S346135,U0599,C10932,22/09/2022,33,61,2,N,Evening,Tablet
S370584,U0599,C05954,27/12/2023,35,46,0,Y,Night,Tablet
S781016,U0599,C10258,21/07/2022,499,8,2,Y,Afternoon,Tablet
S266832,U0599,C02153,25/07/2023,52,51,1,N,Evening,Tablet
S527792,U0599,C07997,12/02/2023,51,28,2,N,Evening,Tablet
S396876,U0599,C02156,25/11/2022,103,81,2,Y,Night,Tablet
S756957,U0599,C17573,14/07/2024,48,42,1,Y,Afternoon,Tablet
S414268,U0599,C16822,29/01/2024,501,83,3,N,Morning,Tablet
S392657,U0599,C07218,30/09/2022,113,98,1,N,Morning,Tablet
S722274,U0599,C07185,06/06/2022,37,3,3,Y,Evening,Tablet
S371475,U0599,C10917,12/12/2025,215,35,3,Y,Night,Tablet
S402124,U0600,C01001,24/07/2024,57,72,2,Y,Evening,Tablet
S846581,U0600,C14454,23/07/2022,87,94,0,Y,Night,Tablet
S145776,U0600,C14553,22/03/2022,56,56,0,Y,Evening,Tablet
S217132,U0600,C04521,30/03/2025,124,20,1,Y,Night,Tablet
S871067,U0600,C04804,31/03/2023,14,14,2,N,Morning,Tablet
S765075,U0600,C14459,19/02/2023,58,71,3,Y,Afternoon,Tablet
S660277,U0600,C17580,22/05/2025,392,65,2,N,Evening,Tablet
S325289,U0600,C15380,27/10/2022,46,50,2,Y,Evening,Tablet
S605610,U0600,C16692,03/10/2024,44,97,1,Y,Afternoon,Tablet
S901393,U0600,C13833,16/09/2023,41,78,0,Y,Night,Tablet
S884539,U0600,C04235,16/06/2022,79,13,1,N,Night,Tablet
S981905,U0600,C06023,21/07/2025,61,64,0,Y,Evening,Tablet
S321969,U0600,C06308,11/04/2023,25,33,2,Y,Evening,Tablet
S714227,U0600,C14478,28/04/2022,5,4,3,N,Evening,Tablet
S167058,U0600,C09560,08/10/2023,239,39,0,N,Afternoon,Tablet
S289636,U0601,C08449,28/11/2024,55,93,3,N,Night,Tablet
S527598,U0601,C03769,07/03/2025,47,27,0,N,Morning,Tablet
S733528,U0601,C13766,17/04/2024,37,66,3,Y,Night,Tablet
S509446,U0601,C07392,03/11/2024,100,91,0,N,Morning,Tablet
S704245,U0601,C16998,26/02/2022,1047,87,3,N,Afternoon,Tablet
S315985,U0601,C01098,04/09/2025,3408,94,3,Y,Night,Tablet
S916696,U0601,C15448,27/11/2024,58,61,3,Y,Night,Tablet
S799341,U0601,C00313,07/05/2024,47,33,3,Y,Evening,Tablet
S739444,U0601,C13324,21/03/2022,49,58,2,Y,Evening,Tablet
S256453,U0601,C09289,12/05/2025,5,10,3,N,Morning,Tablet
S657555,U0601,C01431,28/05/2023,351,58,1,N,Morning,Tablet
S799227,U0601,C08499,29/09/2022,10,1,1,N,Evening,Tablet
S317965,U0601,C07806,10/05/2025,82,91,0,N,Evening,Tablet
S102651,U0601,C17602,28/08/2022,21,14,2,N,Evening,Tablet
S946546,U0601,C13663,15/10/2023,98,28,3,N,Morning,Tablet
S617245,U0602,C17710,13/12/2024,14,8,0,Y,Night,Laptop
S675064,U0602,C13114,09/05/2023,75,80,3,N,Evening,Laptop
S946173,U0602,C15812,08/03/2024,23,41,3,N,Afternoon,Laptop
S600251,U0602,C16692,06/02/2022,16,35,3,N,Morning,Laptop
S914554,U0602,C01670,11/01/2025,111,18,1,N,Afternoon,Laptop
S437313,U0602,C01312,07/12/2025,58,47,3,N,Afternoon,Laptop
S799590,U0602,C03947,29/11/2023,44,43,3,Y,Morning,Laptop
S607326,U0602,C10622,06/06/2023,8,7,1,N,Morning,Laptop
S591615,U0602,C16703,25/07/2022,507,84,3,N,Night,Laptop
S150837,U0602,C12423,12/04/2024,93,78,3,N,Morning,Laptop
S778790,U0602,C05357,12/04/2024,44,41,3,Y,Night,Laptop
S853148,U0602,C13447,12/08/2022,16,100,1,N,Afternoon,Laptop
S195446,U0602,C15257,29/03/2024,48,50,1,Y,Afternoon,Laptop
S598470,U0602,C07200,20/03/2024,91,93,1,Y,Afternoon,Laptop
S271859,U0602,C16640,09/10/2023,29,28,1,N,Night,Laptop
S161150,U0603,C09515,16/05/2022,6,100,3,Y,Night,Laptop
S348939,U0603,C16525,12/06/2025,435,72,1,Y,Evening,Laptop
S210124,U0603,C15299,09/03/2023,57,68,1,N,Morning,Laptop
S300713,U0603,C11495,18/10/2023,26,36,3,N,Night,Laptop
S972276,U0603,C12543,05/10/2023,67,72,1,Y,Morning,Laptop
S185704,U0603,C02778,08/11/2022,567,94,2,Y,Afternoon,Laptop
S987481,U0603,C01764,23/09/2025,8,10,3,Y,Afternoon,Laptop
S286442,U0603,C03723,05/04/2025,128,21,3,N,Night,Laptop
S328220,U0603,C00007,26/06/2023,43,47,0,N,Evening,Laptop
S319984,U0603,C01031,31/07/2023,43,45,3,Y,Afternoon,Laptop
S479207,U0603,C08373,26/05/2024,100,16,3,N,Night,Laptop
S671921,U0603,C14543,20/10/2022,5,5,3,N,Evening,Laptop
S143021,U0603,C00985,24/02/2025,85,14,2,Y,Evening,Laptop
S162213,U0603,C04815,14/07/2024,40,45,0,N,Afternoon,Laptop
S504595,U0603,C02973,17/07/2023,237,19,1,Y,Evening,Laptop
S725950,U0604,C17682,02/07/2024,144,24,0,N,Morning,Mobile
S815902,U0604,C11388,19/01/2025,91,83,1,Y,Morning,Mobile
S970936,U0604,C06154,03/04/2022,15,16,3,N,Evening,Mobile
S539522,U0604,C11616,05/04/2025,9,6,0,Y,Afternoon,Mobile
S582872,U0604,C04259,09/12/2024,115,96,1,Y,Night,Mobile
S128176,U0604,C13588,09/03/2023,71,67,0,Y,Evening,Mobile
S467867,U0604,C01141,05/07/2022,57,54,1,N,Evening,Mobile
S824671,U0604,C12124,01/06/2025,71,75,1,N,Evening,Mobile
S824545,U0604,C06609,11/04/2023,67,60,1,N,Evening,Mobile
S582049,U0604,C12219,17/11/2024,39,42,2,N,Night,Mobile
S113527,U0604,C17172,16/12/2023,43,40,3,Y,Evening,Mobile
S210270,U0604,C10554,29/04/2023,276,46,3,N,Morning,Mobile
